name;price;display_size;display_tech;back_cam;front_cam;CPU;NFC;RAM;storage_cap;battery;SIM;resolution;screen_func;os;Loại CPU;size;weight;material;refresh_rate;GPU;external_storage;waterproof;max_charging;security;external_stoage
xiaomi 14t;11290000.0;6.67 inches;AMOLED;Camera chính: 50MP, 23mm, ƒ/1 7 Cảm biến hình ảnh IMX906 của Sony 2 0 m Super Pixel Máy ảnh tele: 50MP, 50mm, ƒ/1 9Máy ảnh góc siêu rộng: 12MP, 15mm, ƒ/2 2;32MPƒ/2,0FOV 80,8˚Chế độ ban đêmHDRTính năng chụp ảnh bằng lòng bàn tay;MediaTek Dimensity 8300-Ultra;Có;12 GB;512 GB;5000 mAh;Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim;1220 x 2712 pixels;144Hz, 1,5K CrystalRes AMOLED,  446 ppi, 4000 nits, Độ sâu màu 12 bit, Làm mờ PWM lên đến 3840HDR10+, Dolby Vision;;1x Cortex-A715, Lên đến 3,35GHz;;;;;;;;;;
iphone 13;14990000.0;6.1 inches;Super Retina XDR OLED;Camera góc rộng: 12MP, f/1.6  Camera góc siêu rộng: 12MP, ƒ/2.4;12MP, f/2.2;Apple A15;Có;4 GB;256 GB;3240 mAh;2 SIM (nano‑SIM và eSIM);2532 x 1170 pixels;Màn hình super Retina XDR,  OLED, 460 ppi, 1200 nits, Tần số quét 60 Hz, HDR display, công nghệ True Tone Wide color (P3), Haptic Touch, Lớp phủ oleophobic chống bám vân tay;iOS 15;3.22 GHz;Dài 146.7 mm - Ngang 71.5 mm - Dày 7.65 mm - Nặng 173 g;;Khung nhôm & Mặt lưng kính cường lực;;Apple GPU 4 nhân;;IP68;20 W;Mở khoá khuôn mặt Face ID;
xiaomi redmi note 13 pro;6290000.0;6.67 inches;AMOLED;Chính 200 MP & Phụ 8 MP, 2 MP;16 MP;Snapdragon 7s Gen 2 8 nhân;Có;8 GB;256 GB;5100 mAh;Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM;1220 x 2712 pixels;Tần số quét 120Hz, 1800 nitsKính cường lực Corning Gorilla Glass Victus;Android 13;4 nhân 2.4 GHz & 4 nhân 1.95 GHz;;;;;;;;;;
iphone 16 pro;33490000.0;6.3 inches;Super Retina XDR OLED;Camera chính: 48MP, f/1.78, 24mm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu caoHỗ trợ Telephoto 2x 12MP: 52 mm, ƒ/1.6 Camera góc siêu rộng: 48MP, 13 mm, ƒ/2.2 và trường ảnh 120°, H;12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels;Apple A18 Pro;Có;8 GB;512 GB;27 giờ;Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim;2622 x 1206  pixels;Dynamic IslandMàn hình HDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng tối đa 1000 nit460 ppiLớp phủ kháng dầu chống in dấu vân tayHỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự;iOS 18;CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện;Dài 149.6 mm - Ngang 71.5 mm - Dày 8.25 mm - Nặng 199 g;;Khung Titan & Mặt lưng kính cường lực;;Apple GPU 6 nhân;;IP68;20 W;Mở khoá khuôn mặt Face ID;
xiaomi redmi note 13 pro;4690000.0;6.67 inches;AMOLED;Chính 200 MP & Phụ 8 MP, 2 MP;16 MP;MediaTek Helio G99-Ultra 8 nhân;Có;8 GB;128 GB;5000 mAh;2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);Tần số quét 120Hz1300 nitsKính cường lực Corning Gorilla Glass 5;Android 13;2.2 GHz;;;;;;;;;;
iphone 14 pro;24990000.0;6.1 inches;Super Retina XDR OLED;Camera chính: 48 MP, f/1.8, 24mm, OIS  Camera góc siêu rộng: 12 MP, f/2.2, 120˚, 1.4µm Camera tele: 12 MP, f/2.8, PDAF, OIS, 3x optical zoom;Camera selfie: 12 MP, f/1.9, 23mm, PDAF;Apple A16 Bionic;Có;6 GB;256 GB;3200 mAh;2 SIM (nano‑SIM và eSIM);2556 x 1179 pixels;Công nghệ ProMotion với tần số quét 120HzTỷ lệ tương phản 2.000.000: 1Độ sáng tối đa: 2.000 nits (ngoài trời);iOS 16;6 nhân;;;;;;;;;;
iphone 12 pro max i vn;27590000.0;6.7 inches;OLED;"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)";"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)";Apple A14 Bionic (5 nm);Có;6 GB;256 GB;Li-Ion, sạc nhanh 18W, sạc không dây 15W, USB Power Delivery 2.0;2 SIM (nano‑SIM và eSIM);1284 x 2778 pixels;HDR10Dolby VisionTrue-toneĐộ sáng 800 nits;iOS 14.1 hoặc cao hơn (Tùy vào phiên bản phát hành);Hexa-core;;;;;;;;;;
iphone 14 plus;15990000.0;6.7 inches;Super Retina XDR OLED;Camera chính: 12MP, 26 mm, ƒ/1.5Camera góc siêu rộng: 12MP, 13 mm, ƒ/2.4, 120°;12MP khẩu độ f/1.9, Autofocus;Apple A15 Bionic;Có;6 GB;128 GB;4325 mAh;2 SIM (nano‑SIM và eSIM);2778 x 1284 pixel;Tần số quét 60 Hz, 458 ppi, HDR, True Tone, độ sáng 1200 nits , màn hình chống bám vân tay, 2,000,000:1 Kính cường lực Ceramic Shield;iOS 16;6 nhân;;;;;;;;;;
samsung galaxy m55;6990000.0;6.7 inches;Super AMOLED Plus;"Camera góc rộng: 50 MP, f/1.8, 1/1.56"", 1.0µm, PDAF, OIS  Camera góc siêu rộng: 8 MP, f/2.2, 123˚ Camera macro: 2 MP, f/2.4";Camera góc rộng: 50 MP, f/2.4;Qualcomm Snapdragon 7 Gen 1 (4 nm);Có;8 GB;256 GB;5000 mAh;2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);Tần số quét 120Hz, 1000 nits;Android 14;1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510;;;;;;;;;;
samsung galaxy s24 fe;11490000.0;6.7 inches;Dynamic AMOLED;50MP + 12vMP + 8MP;10MP;Exynos 2400e (4nm);Có;8 GB;128 GB;4700 mAh;1 eSIM, 1 Nano SIM;1080 x 2400 pixels (FullHD+);120Hz;Android 14;;16.2 x 7.73 x 8 cm;213 g;Mặt lưng máy: Gorilla Glass Victus+Viền máy: Kim loại;;Xclipse 940;Không;IP68;25 W;Mở khoá vân tay dưới màn hình;
samsung galaxy a55;7590000.0;6.6 inches;Super AMOLED;Camera chính: 50 MP OIS+HDR  Camera góc rộng: 12MP Camera macro: 5MP;32 MP;Exynos 1480 4nm 2.4GHz;Có;8 GB;128 GB;5000 mAh;2 SIM (Nano-SIM);1080 x 2340 pixels (FullHD+);Tần số quét 120Hz, 1000nits96% DCI-P3, 1000 nits, Gorilla Glass 7+;Android 14;4 nhân 2.7 GHz & 4 nhân 2.0 GHz;;;;;;;;;;
samsung galaxy s25 ultra;35490000.0;6.9 inches;Dynamic AMOLED 2X;"Camera siêu rộng 50MPCamera góc rộng 200 MPCamera Tele (5x) 50MPCamera Tele (3x) 10MP""";12 MP;Snapdragon 8 Elite dành cho Galaxy (3nm);Có;12 GB;1 TB;5000 mAh;2 Nano-SIM + eSIM;3120 x 1440 pixels (Quad HD+);120Hz2600 nitsCorning® Gorilla® Armor 2;Android 15;;162.8 x 77.6 x 8.2 mm;218 g;Khung viền: TitaniumMặt lưng máy: Kính cường lực;120 Hz;Adreno 830;Không;IP68;45 W;Mở khoá vân tay dưới màn hình;
xiaomi redmi note 13 pro plus;6490000.0;6.67 inches;AMOLED;Chính 200 MP & Phụ 8 MP, 2 MP;16 MP;Mediatek Dimensity 7200 Ultra (4 nm);Có;8 GB;256 GB;5000 mAh;2 SIM (Nano-SIM);1220 x 2712 pixels;Tần số quét 120Hz;Android 13;2x2.8 GHz Cortex-A715 & 6x2.0 GHz Cortex-A510;;;;;;;;;;
iphone 13 pro max;23990000.0;6.7 inches;Super Retina XDR OLED;Camera góc rộng: 12MP, ƒ/1.5  Camera góc siêu rộng: 12MP, ƒ/1.8  Camera tele : 12MP, /2.8;12MP, ƒ/2.2;Apple A15 Bionic 6 nhân;Có;6 GB;256 GB;4352mAh;2 SIM (nano‑SIM và eSIM);2778 x 1284 pixel;Tần số quét 120 Hz, 1200 nits, Super Retina XDR với ProMotion 6.1‑inch,  OLED, 458 pp, HDR display, True Tone, Wide color (P3), Haptic Touch;iOS15;3.22 GHz;;;;;;;;;;
xiaomi poco x6 pro;7540000.0;6.67 inches;AMOLED;Camera góc siêu rộng: 64 MP, f/1.7Camera góc siêu rộng: 8 MP, 120° FOV, f/2.2Camera macro: 2 MP, f/2.4;Camera góc siêu rộng: 16 MP;Dimensity 8300-Ultra;Có;8 GB;256 GB;5000 mAh;2 SIM (Nano-SIM);1220 x 2712 pixels;68 tỷ màu, tần số 120Hz, Dolby Vision, HDR10+, 1800 nits, 5,000,000:1, DCI-P3Corning Gorilla Glass 5;Android 14;lõi tám, lên tới 3,35GHz;;;;;;;;;;
honor win rt;0.0;6.83 inches;TFT LCD;Camera chính: 50 MPCamera telephoto: 50 MPCamera góc siêu rộng: 12 MP;50 MP;Snapdragon 8 Elite;Có;;;10.000 mAh;2 Nano-SIM;;Độ phân giải màn hình: FHD+ 1272*2800True 1,07 tỷ màu, gam màu rộng DCI-P3Độ sáng đỉnh tối đa: 6000nitsĐộ sáng đỉnh toàn cầu: 2000nitsĐộ sáng tối thiểu: 1nitHỗ trợ đa chạm, lên đến 10 chạm;MagicOS 10 (dựa trên Android 16);Tám lõi, 2×Prime 4.32GHz+6×Hiệu suất 3.53GHz;;;;;;;;;;
oppo a58;4090000.0;6.72 inches;IPS LCD;50 MP,F/1.8 (chính) + 2 MP, F/2.4 (Xóa phông);8 MP, F/2.0;Helio G85, tối đa 2.0GHz;Không;6 GB;128 GB;5000mAh (Typ);2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);16 triệu màu, Kính cường lực Panda;ColorOS 13.1, nền tảng Android 13;2x2,2 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55;165.65 x 75.98 x 7.99 mm;192 g;Mặt lưng máy: Thủy tinh hữu cơKhung máy: Hợp kim;60 Hz;Mali-G52 MP2;MicroSD;IP54;;;
samsung galaxy m55;7990000.0;6.7 inches;Super AMOLED Plus;"Camera góc rộng: 50 MP, f/1.8, 1/1.56"", 1.0µm, PDAF, OIS  Camera góc siêu rộng: 8 MP, f/2.2, 123˚ Camera macro: 2 MP, f/2.4";Camera góc rộng: 50 MP, f/2.4;Qualcomm Snapdragon 7 Gen 1 (4 nm);Có;12 GB;256 GB;5000 mAh;2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);Tần số quét 120Hz, 1000 nits;Android 14;1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510;;;;;;;;;;
xiaomi 14;18990000.0;6.36 inches;LTPO OLED;"Camera góc rộng: 50 MP, f/1.6, 23mm, 2.4µm, PDAF, OISCamera chụp xa: 50 MP, f/1.9, 50mm, 1/2.88"", 0.61µm, PDAF, 2x optical zoomCamera góc siêu rộng: 50 MP, f/1.8, 12mm, 122˚, 1/2.51"", PDAF";Camera góc rộng: 32 MP, f/ 2.2, PDAF;Qualcomm Snapdragon 8 Gen 3 (4 nm);Có;12 GB;256 GB;4610 mAh;2 SIM (Nano-SIM);1200 x 2670 pixels,;Tần số quét màn hình 120 Hz, Màn hình siêu thị 1,5K, 68 tỷ màu, Dolby Vision, HDR10+, 2800 nits, HDR Vivid;Android 14;;;;;;;;;;;
realme gt neo 3;0.0;6.7 inches;AMOLED;"Camera góc rộng: 50 MP, f/1.9, 24mm, 1/1.56"", 1.0µm, PDAF, OISCamera góc siêu rộng:8 MP, f/2.3, 15mm, 120˚, 1/4.0"", 1.12µmCamera macro: 2 MP, f/2.4";"Camera góc rộng: 16 MP, f/2.5, 26mm, 1/3.09"", 1.0µm";Mediatek Dimensity 8100 (5 nm);Có;6 GB;128 GB;5000 mAh;2 SIM (Nano-SIM);1080 x 2412 pixels;1 tỷ màu, tần số quét 120Hz, HDR10+ Kính cường lực Corning Gorilla Glass 5;Android 12;4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55;;;;;;;;;;
samsung galaxy s24 plus;18990000.0;6.7 inches;Dynamic AMOLED 2X;Camera chính góc rộng: 50 MP, f/1.8, Dual Pixel PDAF, OISCamera tele: 10 MP, f/2.4, PDAF, OIS, zoom quang học 3xCamera góc siêu rộng: 12 MP, f/2.2, 120˚;12 MP, f/2.2;Exynos 2400;Có;12 GB;512 GB;4,900 mAh;SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM;3120 x 1440 pixels (Quad HD+);120Hz, Độ sáng tối đa 2600 nits, Corning® Gorilla® Glass Victus® 2, 16 triệu màu;Android 14, One UI 6.1;3.2GHz,2.9GHz,2.6GHz,1.95GHz;;;;;;;;;;
samsung galaxy a15 lte;4290000.0;6.5 inches;Super AMOLED;Chính 50 MP & Phụ 5 MP, 2 MP;13MP;MediaTek G99;Có;8 GB;128 GB;5000 mAh;2 SIM (Nano-SIM);1080 x 2340 pixels (FullHD+);Tần số quét 90 HzĐộ sáng tối đa: 800 nitsMặt kính cảm ứng: Kính cường lực;Android 14;2 nhân 2.2 GHz & 6 nhân 2.0 GHz;;;;;;;;;;
samsung galaxy s20 fe;7200000.0;6.5 inches;Super AMOLED;Camera chính: 12 MP, f/1.8  Camera tele: 8 MP, f/2.0, zoom quang 3x Camera góc siêu rộng: 12 MP, f/2.2;32 MP, f/2.0, AF;Snapdragon 865;Có;8 GB;256 GB;Li-Po 4500 mAh, sạc nhanh 25W, sạc không dây cho các thiết bị ngoại vi 5.4W;2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);Tần số quét 120 Hz, mặt kính cảm ứng cong 2.5D;Android 10, One UI 2.5;8 nhân (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585);;;;;;;;;;
samsung galaxy s22 ultra online;18990000.0;6.8 inches;Dynamic AMOLED 2X;108 MP, f/1.8 góc rộng10 MP, f/4.910 MP, f/2.412 MP, f/2.2 góc siêu rộng;40 MP, f/2.2;Snapdragon 8 Gen 1 (4 nm);Có;12 GB;256 GB;5000 mAh;2 Nano SIM hoặc 1 Nano + 1 eSIM;1440 x 3088 pixels (QHD+);Tần số quét 120HzCông nghệ HDR10+, 1750 nits;Android 12;1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510;;;;;;;;;;
honor 400 lite;7680000.0;6.7 inches;AMOLED;Camera chính 108MP (f/1.75) + Camera góc rộng & sâu 5MP (f/2.2);Camera 16MP (f/2.45), Đèn Flash Selfie;MediaTek Dimensity 7025-Ultra;Có;12 GB;256 GB;5230 mAh;2 Nano SIM hoặc 1 Nano + 1 eSIM;2412 x 1080 pixels;Cử chỉ đa chạm (tối đa 10 điểm chạm), 16,7 triệu màu, 100% DCI-P3, Hỗ trợ 1,07 tỷ màu;MagicOS 9.0 (Dựa trên Android 15);8 nhân, 2xA78 2.5GHz + 6xA55 2.0Ghz;161 x 7.29 x 74.55 mm;171 g;Mặt lưng máy: NhựaViền máy: NhựaKhung máy: Kim loại;120 Hz;IMG BXM-8-256;;IP65;35 W;Mở khoá vân tay dưới màn hình;
xiaomi poco m6;3190000.0;6.79 inches;IPS LCD;Camera chính: 108MP siêu rõ ống kính 6P, f/1,75Camera macro: 2MP f/2,4;13MP, f/2,45;Helio G91-Ultra;Có;6 GB;128 GB;5030 mAh;2 SIM (Nano-SIM);2460x1080 pixels;396 ppiLên đến 90Hz450 nit;Android 13;Cortex-A75+Cortex-A55Tần số tối đa của CPU: 2.0GHz;;;;;;;;;;
vivo iqoo z9 turbo;0.0;6.72 inches;OLED;Chống rung quang học (OIS) và camera góc siêu rộng 8MP;16MP;Snapdragon 8s Gen 3;Có;12 GB;256 GB;6000 mAh;;;Độ phân giải 1.5K, độ sáng 4500 nits, tần số quét 144Hz;Android 14;;;;;;;;;;;
oppo find n;0.0;7.1 inch;LTPO AMOLED;Camera góc rộng: 50 MP, f/1.8, OISCamera Tele: 13 MP, f/2.4, 2x optical zoom, PDAFCamera góc siêu rộng:16 MP, f/2.2;Camera góc rộng: 32 MP, f/2.4Camera phụ: 32 MP, f/2.4;Qualcomm SM8350 Snapdragon 888 5G (5nm);Có;8 GB;256 GB;4500 mAh;2 SIM (Nano-SIM);;Màn hình chính: LTPO AMOLED có thể gập lại, 1792 x 1920 pixel, tần số quét 120Hz, HDR10+, 500 nit, 1000 nit Màn hình phụ: 5,49 inch, 988 x 1972 pixel, AMOLED, Corning Gorilla Glass Victus;Android 11;1x2,84 GHz Cortex-X1 & 3x2,42 GHz Cortex-A78 & 4x1,80 GHz Cortex-A55;;;;;;;;;;
samsung galaxy s21 fe;8800000.0;6.4 inches;Dynamic AMOLED 2X;Camera góc rộng: 12 MP, f/1.8, PDAF, OIS  Camera tele: 8 MP, f/2.4, 3x optical zoom  Camera góc siêu rộng: 12 MP, f/2.2;32 MP, f/2.2;Exynos 2100 (5nm);Có;8 GB;128 GB;4500mAh;2 SIM (Nano-SIM);1080 x 2340 pixels (FullHD+);Tần số quét 120 Hz, 1200 nits, Kính cường lực Corning Gorilla Glass Victus;Android 12;1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz;;;;;;;;;;
tecno spark 40;3590000.0;6.67 inches;LCD;50MP + Dual Flash;8MP + Dual Flash;MediaTek Helio G91;Có;8 GB;256 GB;5200mAh;2 SIM (Nano-SIM);720 x 1600 pixel;Dynamic Port 2.0Độ sáng tối đa 700 nits;Android 15;8 nhân (2x Cortex-A75 + 6x Cortex-A55);165.6 × 77 × 7.67 mm;188 g;Khung máy: NhựaMặt lưng máy: Nhựa;120 Hz;Mali-G52;MicroSD;IP64;;;
tecno spark 40;3590000.0;6.67 inches;LCD;50MP + Dual Flash;8MP + Dual Flash;MediaTek Helio G91;Có;8 GB;256 GB;5200mAh;2 SIM (Nano-SIM);720 x 1600 pixel;Dynamic Port 2.0Độ sáng tối đa 700 nits;Android 15;8 nhân (2x Cortex-A75 + 6x Cortex-A55);165.6 × 77 × 7.67 mm;188 g;Khung máy: NhựaMặt lưng máy: Nhựa;120 Hz;Mali-G52;MicroSD;IP64;;;
poco x5;4490000.0;6.67 inches;AMOLED;Camera góc rộng: 48MP, f/1.8, PDAF  Camera góc siêu rộng: 8MP, f/2.2, 118˚ Camera macro: 2MP, f/2.4;Camera góc rộng: 13MP, f/2.5;Snapdragon 695 5G (6 nm);Có;6 GB;128 GB;5000 mAh;Nano-SIM;1080 x 2400 pixels (FullHD+);Tần số quét 120 HzĐộ sáng: 700 nit (HBM), 1200 nit (cao nhất) Corning Gorilla Glass 3Gam màu rộng DCI-P3395 ppiMàn hình SunlightChế độ đọc 3.0;MIUI 13 (Android 12);2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver;;;;;;;;;;
oppo a18;2890000.0;6.56 inches;IPS LCD;Chính 8 MP & Phụ 2 MP;5 MP;MediaTek Helio G85 8 nhân;Không;4 GB;64 GB;5,000mAh;2 SIM (Nano-SIM);720 x 1612 (HD+);Tần số quét 90 HzĐộ sáng tối đa: 720 nitsMặt kính cảm ứng:  Kính cường lực Panda;Android 13;2 nhân 2.0 GHz & 6 nhân 1.8 GHz;163.74 x 75.03 x 8.16 mm;188 g;Nhựa;90 Hz;Mali-G52 MP2;MicroSD;IP54;;;
iphone 12 pro i vn;24990000.0;6.1 inches;OLED;"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)";"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)";Apple A14 Bionic (5 nm);Có;6 GB;128 GB;Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0;2 SIM (nano‑SIM và eSIM);1170 x 2532 pixels;HDR10Dolby VisionTrue-tone;iOS 14.1 hoặc cao hơn (Tùy vào phiên bản phát hành);Hexa-core;;;;;;;;;;
samsung galaxy s23 ultra;22290000.0;6.8 inches;Dynamic AMOLED 2X;Siêu rộng: 12MP F2.2 (Dual Pixel AF)Chính: 200MP F1.7 OIS ±3° (Super Quad Pixel AF)Tele 1: 10MP F4.9 (10X, Dual Pixel AF) OIS,Tele 2: 10MP F2.4 (3X, Dual Pixel AF) OIS Thu phóng chuẩn không gian 100X;12MP F2.2 (Dual Pixel AF);Snapdragon 8 Gen 2 (4 nm);Có;12 GB;512 GB;5000 mAh;2 Nano SIM hoặc 1 Nano + 1 eSIM;1440 x 3088 pixels (QHD+);120Hz, HDR10+, 1750 nits, Gorilla Glass Victus 2;Android;1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510;;;;;;;;;;
tecno spark 40;2990000.0;6.67 inches;LCD;50MP + Dual Flash;8MP + Dual Flash;MediaTek Helio G91;Có;6GB + Mở rộng 6GB;128 GB;5200mAh;2 SIM (Nano-SIM);720 x 1600 pixel;Dynamic Port 2.0Độ sáng tối đa 700 nits;Android 15;8 nhân (2x Cortex-A75 + 6x Cortex-A55);165.6 × 77 × 7.67 mm;188 g;Khung máy: NhựaMặt lưng máy: Nhựa;120 Hz;Mali-G52;MicroSD;IP64;;;
tecno spark 40;2990000.0;6.67 inches;LCD;50MP + Dual Flash;8MP + Dual Flash;MediaTek Helio G91;Có;6GB + Mở rộng 6GB;128 GB;5200mAh;2 SIM (Nano-SIM);720 x 1600 pixel;Dynamic Port 2.0Độ sáng tối đa 700 nits;Android 15;8 nhân (2x Cortex-A75 + 6x Cortex-A55);165.6 × 77 × 7.67 mm;188 g;Khung máy: NhựaMặt lưng máy: Nhựa;120 Hz;Mali-G52;MicroSD;IP64;;;
redmi k50 gaming edition;0.0;6.67 inches;OLED;"Camera góc rộng: 64 MP, f/1.9, 26mm, 1/1.73"", 0.8µm, PDAFCamera góc siêu rộng:8 MP, f/2.2, 120˚Camera macro: 2 MP, f/2.4";"Camera góc rộng: 20 MP, f/2.4, 1/2.0"", 0.8µm";Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm);Có;8 GB;128 GB;4700 mAh;2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);1 tỷ màu, 120Hz, HDR10+, 800 nits (HBM)Corning Gorilla Glass Victus;MIUI 13, Android 12.;1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510;;;;;;;;;;
tecno pova 6;5390000.0;6.78 inches;AMOLED;108M + AI;Camera trước 32MP với đèn flash kép;MediaTek G99 Ultimate;Có;8 GB;256 GB;6.000 mAh;2 Nano-SIM;1080 x 2436 pixels;;Android 14;2*A76 up to 2.2Ghz   6*A55 up to 2.0Ghz;;;;;;;;;;
samsung galaxy s22 ultra;0.0;6.8 inches;Dynamic AMOLED 2X;108 MP, f/1.8 góc rộng10 MP, f/4.910 MP, f/2.412 MP, f/2.2 góc siêu rộng;40 MP, f/2.2;Snapdragon 8 Gen 1 8 nhân;Có;8 GB;128 GB;5000 mAh;2 Nano SIM hoặc 1 Nano + 1 eSIM;1440 x 3088 pixels (QHD+);Tần số quét 120Hz,1750 nits;Android 12;1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510;;;;;;;;;;
samsung galaxy s23 online;13790000.0;6.1 inches;Dynamic AMOLED 2X;Camera chính 50 MP & Phụ 12 MP, 10 MP;12MP;Snapdragon 8 Gen 2 for Galaxy;Có;8 GB;128 GB;3900 mAh;2 Nano SIM hoặc 1 Nano + 1 eSIM;1080 x 2340 pixels (FullHD+);Tần số quét 120Hz, Độ sáng tối đa 1750 nitsKính cường lực Corning Gorilla Glass Victus 2;Android 13;1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz;;;;;;;;;;
nubia red magic 9 pro;0.0;6.8 inches;AMOLED;"Camera góc rộng: 50 MP, 1/1.57"", 1.0µm, PDAF, OISCamera siêu góc rộng: 50 MP, 1/2.76"", 0.64µm Camera macro:2 MP, f/2.4";Camera góc rộng: 16 MP, f/2.0,, 1.12µm, under display;Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm);Có;8 GB;256 GB;6500 mAh;2 SIM (Nano-SIM);1116 x 2480 pixels;1 tỷ màu, 120Hz, 1600 nits;Android 14;1x3.3 GHz Cortex-X4 & 5x3.2 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520;;;;;;;;;;
iphone 13 pro max i vn;27990000.0;6.7 inches;Super Retina XDR OLED;Camera góc rộng: 12MP, ƒ/1.5  Camera góc siêu rộng: 12MP, ƒ/1.8  Camera tele : 12MP, /2.8;12MP, ƒ/2.2;Apple A15 Bionic 6 nhân;Có;6 GB;1 TB;4352mAh;2 SIM (nano‑SIM và eSIM);2778 x 1284 pixel;Tần số quét 120 Hz, 1200 nits, Super Retina XDR với ProMotion 6.1‑inch,  OLED, 458 pp, HDR display, True Tone, Wide color (P3), Haptic Touch;iOS15;3.22 GHz;;;;;;;;;;
samsung galaxy s21 fe;0.0;6.4 inches;Dynamic AMOLED 2X;Camera góc rộng: 12 MP, f/1.8, PDAF, OIS  Camera tele: 8 MP, f/2.4, 3x optical zoom  Camera góc siêu rộng: 12 MP, f/2.2;32 MP, f/2.2;Exynos 2100 (5nm);Có;8 GB;256 GB;4500mAh;2 SIM (Nano-SIM);1080 x 2340 pixels (FullHD+);Trang bị Spen Pro, Tần số quét 120 Hz, 1200 nits, Kính cường lực Corning Gorilla Glass Victus;Android 12;1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz;;;;;;;;;;
samsung galaxy a34;7090000.0;6.6 inches;Super AMOLED;"Camera góc rộng: 48MP, f/1.8, 26mm , 1/2.0"", 0.8µm, PDAF, OIS  Camera góc siêu rộng: 8MP, f/2.2, 123, 1/4.0"", 1.12µm  Camera macro: 5MP, f/2.4";"Camera góc rộng: 13MP, f/2.2, 1/3.1"", 1.12µm";Dimensity 1080 (5 nm);Có;8 GB;128 GB;5.000 mAh;2 SIM (Nano-SIM);1080 x 2340 pixels (FullHD+);Tần số quét 120Hz  Corning Gorilla Glass 5;Android 13;2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55;;;;;;;;;;
iphone 13 pro;21990000.0;6.1 inches;Super Retina XDR OLED;Camera góc rộng: 12MP, ƒ/1.5  Camera góc siêu rộng: 12MP, ƒ/1.8  Camera tele : 12MP, /2.8;12MP, ƒ/2.2;Apple A15 Bionic 6 nhân;Có;6 GB;128 GB;3,095mAh;2 SIM (nano‑SIM và eSIM);1170 x 2532 pixels;Tần số quét 120Hz, 1200 nits, Super Retina XDR với ProMotion 6.1‑inch,  OLED, 460 pp, HDR display, True Tone, Wide color (P3), Haptic Touch;iOS15;3.22 GHz;;;;;;;;;;
