Tên,Giá,Link,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Bộ nhớ trong,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Dung lượng RAM,Pin,Tương thích,Cảm biến
Realme Narzo 50i,Giá Liên Hệ,https://cellphones.com.vn/realme-narzo-50i.html,,,,8 MP,,,64 GB,,,,,,4 GB,5000 mAh,,
Samsung Galaxy M53 5G,Giá Liên Hệ,https://cellphones.com.vn/samsung-galaxy-m53.html,6.7 inches,AMOLED,"Chính 64 MP & Phụ 12 MP, 8 MP, 5 MP",32 MP,Dimensity 900,Có,128 GB,2 SIM (Nano-SIM),,,,,8 GB,5000 mAh,,
Realme X7 Pro,Giá Liên Hệ,https://cellphones.com.vn/realme-x7-pro.html,6.55 inches,"AMOLED capacitive touchscreen, 16M colors, 120Hz","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.3, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","32 MP, f/2.2, (wide), 1/2.8"", 0.8µm",Mediatek Dimensity 1000+ (7nm),Có,256 GB,2 SIM (Nano-SIM),"Android 10, Realme UI",1080 x 2400 pixels (FullHD+),,Octa-core (4x2.6 GHz Cortex-A77 & 4x2.0 GHz Cortex-A55),8 GB,"Li-Po 4500 mAh, Fast charging 65W",,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển"
Vsmart Joy 2 Plus 2GB,1.990.000đ,https://cellphones.com.vn/vsmart-joy-2-plus-ram-2gb.html,6.2 inches,LCD HD+,13MP - 5MP,8MP,,,32 GB,,,,,,2 GB,4500 mAh,,
Vivo Y75s,Giá Liên Hệ,https://cellphones.com.vn/vivo-y75s.html,6.58 inches,IPS LCD,"Camera góc rộng: 64 MP, f/1.8, PDAF Camera góc siêu rộng: 8 MP, f/2.2, 120˚  Camera macro; 2 MP, f/2.4","Camera góc rộng: 8 MP, f/2.0",MediaTek MT6833 Dimensity 700 (7 nm),Không,256 GB,2 SIM (Nano-SIM),Android 11,1080 x 2408 pixels,,"2x2,2 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",8 GB,5000 mAh,,
Xiaomi Poco C40,Giá Liên Hệ,https://cellphones.com.vn/xiaomi-poco-c40.html,6.7 inches,IPS LCD,"50 MP, f/1.8, 26mm (wide), PDAF  2 MP, f/2.4, (depth)","5 MP, f/2.0",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Có,32 GB,2 SIM (Nano-SIM),"Android 11, MIUI 13",720 x 1650 pixels,,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),3 GB,Li-Po 6000 mAh,,
vivo X Fold,Giá Liên Hệ,https://cellphones.com.vn/vivo-x-fold.html,8.03 inches,LTPO AMOLED,"Camera góc rộng: 50 MP, f/1.8, 1.0µm, Laser AF, OIS  Kính viễn vọng: 8 MP, f/3.4, 125mm, PDAF, OIS  Camera tele: 12MP, f/2.0, 47mm  Camera góc siêu rộng: 48MP, f/2.2, 14mm, 114˚","Camera góc rộng: 16 MP, f/2.5",Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Có,256 GB,Nano-SIM,Android 12,1916 x 2160 pixels,"Tần số quét 120Hz, HDR10+Màn hình phụ: AMOLED, 120Hz, 6.53 inches, 1080 x 2520 pixels, 21:9 ratio",1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510,12 GB,4600mAh,,
Realme GT 2,Giá Liên Hệ,https://cellphones.com.vn/realme-gt-2.html,6.62 inches,AMOLED,"Chính 50 MP & Phụ 8 MP, 2 MP",16 MP,Snapdragon 888,Có,256 GB,2 SIM (Nano-SIM),,,,,12 GB,5.000 mAh,,
Xiaomi 12 Ultra,Giá Liên Hệ,https://cellphones.com.vn/xiaomi-mi-12-ultra.html,6.9 inches,Super AMOLED,"Chính 50 MP & Phụ 48 MP, 20 MP, 12 MP",Chính 32 MP & Phụ 8 MP,Snapdragon 895 8 nhân,Có,128 GB,2 SIM (Nano-SIM),Android 11,1440 x 2560 pixels,,Snapdragon 895 8 nhân,8 GB,5000 mAh,,
Huawei P30,17.990.000đ,https://cellphones.com.vn/huawei-p30-1.html,6.1 inches,"OLED, cảm ứng điện dung 16.7 triệu màu","40 MP, 16 MP và 8 MP (3 camera)",32 MP,HiSilicon Kirin 980,Có,128 GB,2 SIM (Nano-SIM),Android v9.0 (Pie),1080 x 2340 pixels (FullHD+),,"8 nhân (2 nhân Cortex-A76 2,6GHz+ 2 nhân Cortex-A76 1,92GHz + 4 nhân Cortex-A55 1,8GHz)",8 GB,3650 mAh,,"Cảm biến ánh sáng xung quanh, Cảm biến vân tay trên màn hình, Con quay hồi chuyển, La bàn, Cảm biến tiệm cận, Cảm biến trọng lực, Cảm biến Hall, Cảm biến hồng ngoại, Cảm biến nhiệt độ màu"
Oppo F11 Pro 128GB,8.490.000đ,https://cellphones.com.vn/oppo-f11-pro-128-gb.html,,,,,,,,,,,,,,,,
Xiaomi Civi,Giá Liên Hệ,https://cellphones.com.vn/xiaomi-civi.html,,,,,Snapdragon 778G 5G 8 nhân,,128 GB,,Android 11,,,,4 GB,4500 mAh,,
Huawei P30 Lite,7.490.000đ,https://cellphones.com.vn/huawei-p30-lite-1.html,6.15 inches,IPS LCD,24MP + 8MP + 2MP,32MP,Kirin 710,Có,128 GB,2 SIM (Nano-SIM),Android v9.0 (Pie),1080 x 2312 pixels (FullHD+),,"8 nhân (4 x Cortex-A73 2,2GHz + 4 x Cortex-A53 1,7GHz)",6 GB,4300 mAh,,"Cảm biến trọng lực, Cảm biến ánh sáng môi trường, Cảm biến tiệm cận, Con quay hồi chuyển, La bàn, Cảm biến vân tay"
Realme X3 Pro,Giá Liên Hệ,https://cellphones.com.vn/realme-x3-pro.html,6.6 inches,"IPS LCD capacitive touchscreen, 16M colors, Corning Gorilla Glass 5, 120Hz refresh rate","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/3.4, 124mm (periscope telephoto), PDAF, OIS, 5x optical zoom 8 MP, f/2.3, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro)","32 MP, f/2.5, 26mm (wide), 1/2.8"", 0.8µm 8 MP, f/2.2, 105˚ (ultrawide), 1/4.0"", 1.12µm",Qualcomm SM8150 Snapdragon 855+ (7 nm),,256 GB,2 SIM (Nano-SIM),"Android 10, Realme UI",1080 x 2400 pixels (FullHD+),,Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),12 GB,"Li-Po 4200 mAh battery, Fast charging 30W",,
vivo iQOO Z6x,Giá Liên Hệ,https://cellphones.com.vn/vivo-iqoo-z6x.html,6.58 inches,IPS LCD,"Camera góc rộng: 50 MP, f/1.8, 26mm, PDAF  Camera macro: 2 MP, f/2.4","Camera góc rộng: 8 MP, f/2.0",MediaTek MT6833P Mật độ 810 (6 nm),Không,128 GB,2 SIM (Nano-SIM),Android 11,1080 x 2408 pixels,,"2x2,4 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",6 GB,Li-Po 6000 mAh,,
Xiaomi Redmi 9 Activ,Giá Liên Hệ,https://cellphones.com.vn/xiaomi-redmi-9-activ.html,6.53 inches,,"13MP, f/2.2 2  2MP, f/2.4","5MP, f/2.2",MediaTek Helio G35,,64 GB,2 SIM (Nano-SIM),Android 11,720 x 1600 pixel,"NTSC 70% , 400 nit (typ)","2.3GHz, 8x A53, Octa-core CPU",4 GB,5000mAh,,
Vsmart Joy 2 Plus 2GB,1.990.000đ,https://cellphones.com.vn/vsmart-joy-2-plus-ram-2gb.html,6.2 inches,LCD HD+,13MP - 5MP,8MP,,,32 GB,,,,,,2 GB,4500 mAh,,
vivo S15,Giá Liên Hệ,https://cellphones.com.vn/vivo-s15.html,6.62 inches,AMOLED,"64 MP, f/1.9, 25mm (Camera góc rộng), 1/1.72"", PDAF, OIS8 MP, f/2.2, 16mm, 120˚ (Camera góc siêu rộng)2 MP, f/2.4, (Camera Macro)","32 MP, f/2.0, (Camera góc rộng)",Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Có,128 GB,2 SIM (Nano-SIM),"Android 12, Origin OS Ocean",1080 x 2400 pixels (FullHD+),AMOLED 120Hz  HDR10+  1300 nits,Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),8 GB,Li-Po 4500 mAh (Không thể tháo rời),,
Vivo Y73t,Giá Liên Hệ,https://cellphones.com.vn/vivo-y73t.html,6.58 inches,IPS LCD,"Camera góc rộng: 50MP, f/1.8, 26mm, PDAF  Camera Macro: 2 MP, f/2.4","Camera góc rộng: 8 MP, f/2.0",MediaTek MT6833 Mật độ 700 (7 nm),Không,128 GB,2 SIM (Nano-SIM),Android 11,1080 x 2408 pixels,,"2x2,2 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",8 GB,6000 mAh,,
Realme Note 9 Prime,Giá Liên Hệ,https://cellphones.com.vn/realme-note-9-prime.html,,,,,,,64 GB,,Android 11,,,,4 GB,,,
Samsung Galaxy A50s,6.990.000đ,https://cellphones.com.vn/samsung-galaxy-a50s.html,6.4 inches,Super AMOLED,"Chính 48 MP & Phụ 8 MP, 5 MP",32 MP,Exynos 9610 8 nhân 64-bit,,64 GB,2 SIM (Nano-SIM),Android v9.0 (Pie),1080 x 2340 pixels (FullHD+),,4 nhân 2.3 GHz và 4 nhân 1.7 GHz,4 GB,Pin chuẩn Li-Po 4000 mAh,,- Bảo mật vân tay dưới màn hình- Công nghệ nhận diện khuôn mặt- Công nghệ Neuro Game Booster tối ưu hóa khi chơi game
Oppo A77 5G,Giá Liên Hệ,https://cellphones.com.vn/oppo-a77.html,6.56 inches,IPS LCD,"Camera gốc rộng: 48 MP, f/1.7  Camera gốc sâu: 2 MP, f/2.4,","Camera gốc rộng: 8 MP, f/2.0",MediaTek Dimensity 810 5G 8 nhân,Có,128 GB,2 SIM (Nano-SIM),"Android 12, ColorOS 12.1",720 x 1612 (HD+),"90Hz, 480 nits (typ)","2x2,4 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",6 GB,Li-Po 5000 mAh,,
Vsmart Joy 3 2GB,2.090.000đ,https://cellphones.com.vn/vsmart-joy-3.html,6.5 inches,IPS LCD,"Chính: 13 MP  Phụ :8 MP, 2MP",8 MP,Qualcomm Snapdragon 632,,32 GB,2 SIM (Nano-SIM),Android 9,720 x 1600 pixel,,Kryo 250,2 GB,Li-Po 5000 mAh,,"Cảm biến vân tay, cảm biến tiệm cận, cảm biến gia tốc, la bàn, con quay hồi chuyển"
Oppo A92,5.740.000đ,https://cellphones.com.vn/oppo-a92.html,6.5 inches,IPS LCD,"Camera chính: 48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF Camera siêu rộng: 8 MP, f/2.2, 119° (ultrawide), 1/4.0"", 1.12µm Camera xoá phông: 2 MP, f/2.4, (depth) Camera B/W: 2 MP B/W, f/2.4","16 MP, f/2.0, (wide), 1/3.1, 1.0µm",Qualcomm SM6125 Snapdragon 665 (11 nm),Không,128 GB,2 SIM (Nano-SIM),"Android 10, ColorOS 7.1",1080 x 2400 pixels (FullHD+),,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),8 GB,"Li-Po 5000 mAh, Fast charging 18W",,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển"
Realme V13,Giá Liên Hệ,https://cellphones.com.vn/realme-v13.html,6.52 inches,IPS LCD,16 MP,64 MP + 8 MP + 2 MP,MediaTek Dimensity 800U MT6853V,Không,64 GB,2 SIM (Nano-SIM),Android 10,1080 x 2400 pixels (FullHD+),,,6 GB,4310 mAh,,
Bphone B40,Giá Liên Hệ,https://cellphones.com.vn/bphone-4.html,,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,,64 GB,2 SIM (Nano-SIM),Đang cập nhật,,,Đang cập nhật,4 GB,Đang cập nhật,,Đang cập nhật
Oppo F17 Pro,Giá Liên Hệ,https://cellphones.com.vn/oppo-f17-pro.html,6.4 inches,"Super AMOLED, 16 triệu màu, Corning Gorilla Glass 3+, độ sáng 430 nits","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)","16 MP, f/2.4, (wide), 1/3"", 1.0µm",Mediatek Helio P95 (12 nm),Không,128 GB,2 SIM (Nano-SIM),"Android 10, ColorOS 7.2",1080 x 2400 pixels (FullHD+),,Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),8 GB,"Li-Po 4015 mAh, sạc nhanh 30W, VOOC 4.0",,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển"
Xiaomi Redmi 13X,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-13x.html,6.79 inches,IPS LCD,Chính 108 MP & Phụ 2 MP,13 MP,MediaTek Helio G91 Ultra 8 nhân,,128 GB,2 Nano-SIM,Xiaomi HyperOS (Android 14),1080x2460 pixels,Tần số quét 90 HzĐộ sáng tối đa 550 nitsKính cường lực Corning Gorilla Glass 3,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,6 GB,5030 mAh,,
Realme X7 Pro,Giá Liên Hệ,https://cellphones.com.vn/realme-x7-pro.html,6.55 inches,"AMOLED capacitive touchscreen, 16M colors, 120Hz","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.3, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","32 MP, f/2.2, (wide), 1/2.8"", 0.8µm",Mediatek Dimensity 1000+ (7nm),Có,256 GB,2 SIM (Nano-SIM),"Android 10, Realme UI",1080 x 2400 pixels (FullHD+),,Octa-core (4x2.6 GHz Cortex-A77 & 4x2.0 GHz Cortex-A55),8 GB,"Li-Po 4500 mAh, Fast charging 65W",,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển"
Nokia X21 5G,Giá Liên Hệ,https://cellphones.com.vn/nokia-x21.html,6.7 inches,OLED,Camera chính 64 MP  Ống kính siêu rộng 13 MP  Ống kính ToF,16 MP,Snapdragon 695,Không,128 GB,,,1920 x 1080 pixels (FullHD),"Màn hình OLED, 120Hz",,6 GB,5.000mAh,,
Vivo Y75s,Giá Liên Hệ,https://cellphones.com.vn/vivo-y75s.html,6.58 inches,IPS LCD,"Camera góc rộng: 64 MP, f/1.8, PDAF Camera góc siêu rộng: 8 MP, f/2.2, 120˚  Camera macro; 2 MP, f/2.4","Camera góc rộng: 8 MP, f/2.0",MediaTek MT6833 Dimensity 700 (7 nm),Không,256 GB,2 SIM (Nano-SIM),Android 11,1080 x 2408 pixels,,"2x2,2 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",8 GB,5000 mAh,,
Xiaomi 12 Ultra,Giá Liên Hệ,https://cellphones.com.vn/xiaomi-mi-12-ultra.html,6.9 inches,Super AMOLED,"Chính 50 MP & Phụ 48 MP, 20 MP, 12 MP",Chính 32 MP & Phụ 8 MP,Snapdragon 895 8 nhân,Có,128 GB,2 SIM (Nano-SIM),Android 11,1440 x 2560 pixels,,Snapdragon 895 8 nhân,8 GB,5000 mAh,,
Redmi Note 11 SE,Giá Liên Hệ,https://cellphones.com.vn/redmi-note-11-se.html,6.43 inches,IPS LCD,"Camera góc rộng: 64 MP, f/1.9, PDAF  Camera macro: 2 MP, f/2.4  Camera góc siêu rộng: 8MP, f/2.2, 118 ° FOV  Cảm biến độ sâu: 2MP, f/2.4","Camera góc rộng: 13 MP, f/2.45, 1 / 4.0 "", 1.12µm",MediaTek Helio G95,Có,64 GB,2 SIM (Nano-SIM),Android 11,1080 x 2400 pixels (FullHD+),"IPS LCD, 90Hz, 400 nits (typ)","2x2,2 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",6 GB,5000 mAh,,
Realme V3,Giá Liên Hệ,https://cellphones.com.vn/realme-v3.html,6.5 inches,"IPS LCD capacitive touchscreen, 16M colors","13 MP, f/2.2, 26mm (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","8 MP, f/2.0, 26mm (wide)",MediaTek Dimensity 720 5G (7 nm),Không,64 GB,2 SIM (Nano-SIM),"Android 10, realme UI",720 x 1600 pixel,,Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),6 GB,"Li-Po 5000 mAh, Fast charging 18W",,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển"
Oppo F19s,Giá Liên Hệ,https://cellphones.com.vn/oppo-f19s.html,6.43 inches,AMOLED,"Camera góc rộng: 48 MP, f/1.7, PDAF  Camera cận cảnh: 2 MP, f/2.4  Camera cảm biến độ sâu: 2 MP, f/2.4","16 MP, f/2.4",Qualcomm SM6115 Snapdragon 662 (11 nm),,128 GB,2 SIM (Nano-SIM),"Android 11, ColorOS 11.1",1080 x 2400 pixels (FullHD+),,4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver,6 GB,Li-Po 5000 mAh,,
Xiaomi 12S Ultra,Giá Liên Hệ,https://cellphones.com.vn/xiaomi-12s-ultra.html,6.73 inches,AMOLED,"Camera góc rộng:  50.3 MP, f/1.9, PDAF, OIS   Tele kính tiềm vọng: 48 MP, f / 4.1, PDAF, OIS, zoom quang 5x Camera góc siêu rộng: 48 MP, f / 2.2","Camera góc rộng: 32 MP, f/2.5",Snapdragon 8+ gen 1 (4 nm),Có,256 GB,2 SIM (Nano-SIM),"Android 12, MIUI 13",1440 x 3200 pixels (QHD+),"Corning Gorilla Glass Victus, HDR10+, Dolby Vision","1x3,19 GHz Cortex-X2 & 3x2,75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510",8 GB,Li-Po 4860 mAh,,
Realme V13,Giá Liên Hệ,https://cellphones.com.vn/realme-v13.html,6.52 inches,IPS LCD,16 MP,64 MP + 8 MP + 2 MP,MediaTek Dimensity 800U MT6853V,Không,64 GB,2 SIM (Nano-SIM),Android 10,1080 x 2400 pixels (FullHD+),,,6 GB,4310 mAh,,
Samsung Galaxy M51,Giá Liên Hệ,https://cellphones.com.vn/samsung-galaxy-m51.html,6.66 inches,"IPS LCD capacitive touchscreen, 16M colors, Corning Gorilla Glass 3","64 MP, f/2.0, 26mm (wide), 1/1.72"", 0.8µm, PDAF 12 MP, f/2.2, (ultrawide) 5 MP, f/2.2, (depth)","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",Qualcomm SDM730 Snapdragon 730 (8 nm),,128 GB,2 SIM (Nano-SIM),"Android 10, One UI 2.0",1080 x 2340 pixels (FullHD+),,Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),6 GB,"Li-Po 7000 mAh, Fast charging 25W",,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển"
OPPO K9x,Giá Liên Hệ,https://cellphones.com.vn/oppo-k9x.html,6.5 inches,IPS LCD,"Camera chính64 MP, f/1.8, PDAF  Camera góc siêu rộng: 8 MP, f/2.2  Camera chân dung: 2 MP, f/2.4","16 MP, f/2.4",MediaTek Dimensity 810 5G (6 nm),Không,128 GB,2 SIM (Nano-SIM),"Android 11, ColorOS 11.X",1080 x 2400 pixels (FullHD+),90Hz,,6 GB,Li-Po 5000 mAh,,
Xiaomi 11i HyperCharge,Giá Liên Hệ,https://cellphones.com.vn/xiaomi-11i-hypercharge.html,6.66 inches,AMOLED,"Camera góc rộng: 108 MP, f/1.9, PDAF  Camera góc siêu rộng: 8 MP, 120˚ Camera tele: 2 MP, f/2.4",16 MP,MediaTek Dimensity 920 5G (6 nm),Không,128 GB,2 SIM (Nano-SIM),"Android 11, MIUI 12.5",1080 x 2400 pixels (FullHD+),"120Hz, HDR10, Corning Gorilla Glass 5",2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55,6 GB,Li-Po 4500 mAh,,
Vivo Y21T,Giá Liên Hệ,https://cellphones.com.vn/vivo-y21t.html,5.5 inches,,50MP + 2MP + 2MP,,,Không,128 GB,,"Android 11, Funtouch OS 12",,,,6 GB,"5,000 mAh",,
vivo X200 Ultra,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-vivo-x200-ultra.html,6.82 inches,AMOLED,"Camera chính: 50MP, f/1.7Camera telephoto: 200MP, f/2.3Camera góc siêu rộng: 50MP, f/2.0",50MP,Snapdragon 8 Elite,,256 GB,,Android 15,3168 x 1440 pixel,"Tần số quét 120Hz, Độ sáng 4500 nits, Dolby Vision, HDR Vivid",,12 GB,"6,000mAh",,
Samsung Galaxy S 2019,20.990.000đ,https://cellphones.com.vn/samsung-galaxy-s-2019.html,6.1 inches,,3 Camera,,Exynos,,128 GB,,9.0 (Pie),,,,,3.500mAh,,
Huawei P30,17.990.000đ,https://cellphones.com.vn/huawei-p30-1.html,6.1 inches,"OLED, cảm ứng điện dung 16.7 triệu màu","40 MP, 16 MP và 8 MP (3 camera)",32 MP,HiSilicon Kirin 980,Có,128 GB,2 SIM (Nano-SIM),Android v9.0 (Pie),1080 x 2340 pixels (FullHD+),,"8 nhân (2 nhân Cortex-A76 2,6GHz+ 2 nhân Cortex-A76 1,92GHz + 4 nhân Cortex-A55 1,8GHz)",8 GB,3650 mAh,,"Cảm biến ánh sáng xung quanh, Cảm biến vân tay trên màn hình, Con quay hồi chuyển, La bàn, Cảm biến tiệm cận, Cảm biến trọng lực, Cảm biến Hall, Cảm biến hồng ngoại, Cảm biến nhiệt độ màu"
Vsmart Joy 3 2GB,2.090.000đ,https://cellphones.com.vn/vsmart-joy-3.html,6.5 inches,IPS LCD,"Chính: 13 MP  Phụ :8 MP, 2MP",8 MP,Qualcomm Snapdragon 632,,32 GB,2 SIM (Nano-SIM),Android 9,720 x 1600 pixel,,Kryo 250,2 GB,Li-Po 5000 mAh,,"Cảm biến vân tay, cảm biến tiệm cận, cảm biến gia tốc, la bàn, con quay hồi chuyển"
Xiaomi Redmi 13X,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-13x.html,6.79 inches,IPS LCD,Chính 108 MP & Phụ 2 MP,13 MP,MediaTek Helio G91 Ultra 8 nhân,,128 GB,2 Nano-SIM,Xiaomi HyperOS (Android 14),1080x2460 pixels,Tần số quét 90 HzĐộ sáng tối đa 550 nitsKính cường lực Corning Gorilla Glass 3,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,6 GB,5030 mAh,,
Vivo X70T Pro,Giá Liên Hệ,https://cellphones.com.vn/vivo-x70t-pro.html,6.44 inches,AMOLED,,32 MP,MediaTek Dimensity 1200,,128 GB,2 SIM (Nano-SIM),Android 11,1080 x 2400 pixels (FullHD+),"HDR10+, 120Hz",,8 GB,5.000 mAh,,
vivo iQOO Z6x,Giá Liên Hệ,https://cellphones.com.vn/vivo-iqoo-z6x.html,6.58 inches,IPS LCD,"Camera góc rộng: 50 MP, f/1.8, 26mm, PDAF  Camera macro: 2 MP, f/2.4","Camera góc rộng: 8 MP, f/2.0",MediaTek MT6833P Mật độ 810 (6 nm),Không,128 GB,2 SIM (Nano-SIM),Android 11,1080 x 2408 pixels,,"2x2,4 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",6 GB,Li-Po 6000 mAh,,
Xiaomi Mi 10T Lite,Giá Liên Hệ,https://cellphones.com.vn/xiaomi-mi-10t-lite.html,6.66 inches,"IPS LCD, 16 triệu màu, 120Hz, 450nits","64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","16 MP, f/2.5, 25mm (wide), 1/3.06"" 1.0µm",Qualcomm SM7225 Snapdragon 750 5G (8 nm),Có,128 GB,2 SIM (Nano-SIM),"Android 10, MIUI 12",1176 x 2400 pixel,,Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),6 GB,"Li-Po 4820 mAh, sạc nhanh 33W",,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển"
Oppo F17 Pro,Giá Liên Hệ,https://cellphones.com.vn/oppo-f17-pro.html,6.4 inches,"Super AMOLED, 16 triệu màu, Corning Gorilla Glass 3+, độ sáng 430 nits","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)","16 MP, f/2.4, (wide), 1/3"", 1.0µm",Mediatek Helio P95 (12 nm),Không,128 GB,2 SIM (Nano-SIM),"Android 10, ColorOS 7.2",1080 x 2400 pixels (FullHD+),,Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),8 GB,"Li-Po 4015 mAh, sạc nhanh 30W, VOOC 4.0",,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển"
vivo S15,Giá Liên Hệ,https://cellphones.com.vn/vivo-s15.html,6.62 inches,AMOLED,"64 MP, f/1.9, 25mm (Camera góc rộng), 1/1.72"", PDAF, OIS8 MP, f/2.2, 16mm, 120˚ (Camera góc siêu rộng)2 MP, f/2.4, (Camera Macro)","32 MP, f/2.0, (Camera góc rộng)",Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Có,128 GB,2 SIM (Nano-SIM),"Android 12, Origin OS Ocean",1080 x 2400 pixels (FullHD+),AMOLED 120Hz  HDR10+  1300 nits,Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),8 GB,Li-Po 4500 mAh (Không thể tháo rời),,
Tecno POP 6 Go 4G,Giá Liên Hệ,https://cellphones.com.vn/tecno-pop-6-go-4g.html,6.0 inches,IPS LCD,5 MP,5 MP,,,32 GB,,Android 12 Go Edition.,480 x 960 pixel,,,2 GB,4000 mAh,,
Tecno Spark 8P,Giá Liên Hệ,https://cellphones.com.vn/tecno-spark-8p.html,6.6 inches,IPS LCD,50 MP + 2MP + 8MP,Camera góc rộng: 8 MP,Bộ xử lý Octa-core,Không,64 GB,2 SIM (Nano-SIM),"Android 11, HIOS 7.6",1080 x 2408 pixels,,,4 GB,"Li-Po 5000 mAh, không thể tháo rời",,
Tecno Pova Neo 2,Giá Liên Hệ,https://cellphones.com.vn/tecno-pova-neo-2.html,6.82 inches,IPS LCD,"Camera góc rộng: 16 MP,, AF",8 MP,MediaTek Helio G85 (12nm),Có,64 GB,2 SIM (Nano-SIM),Android 12,720 x 1640 pixels,"IPS LCD, 90Hz","2x2,0 GHz Cortex-A75 & 6x1,8 GHz Cortex-A55",4 GB,7000 mAh,,
