name,price,link,Hệ điều hành,Chip xử lý (CPU),Tốc độ CPU,Chip đồ họa (GPU),RAM,Dung lượng lưu trữ,Dung lượng còn lại (khả dụng) khoảng,Danh bạ,Độ phân giải camera sau,Quay phim camera sau,Đèn Flash camera sau,Tính năng camera sau,Độ phân giải camera trước,Tính năng camera trước,Công nghệ màn hình,Độ phân giải màn hình,Màn hình rộng,Độ sáng tối đa,Mặt kính cảm ứng,Dung lượng pin,Loại pin,Hỗ trợ sạc tối đa,Công nghệ pin,Bảo mật nâng cao,Tính năng đặc biệt,"Kháng nước, bụi",Ghi âm,Xem phim,Mạng di động,SIM,Wifi,GPS,Bluetooth,Cổng kết nối/sạc,Jack tai nghe,Kết nối khác,Thiết kế,Chất liệu,"Kích thước, khối lượng",Thời điểm ra mắt,Hãng,description,brand,sku,mpn,price_json,currency,Sạc kèm theo máy,Nghe nhạc,Radio,Thẻ nhớ,Đèn pin
Điện thoại HONOR X6c 6GB/128GB,3.990.000₫,https://www.thegioididong.com/dtdd/honor-x6c-6gb-128gb,Android 15,MediaTek Helio G81-Ultra 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.7 GHz,Mali-G52 MC2,6 GB,128 GB,94 GB,Không giới hạn,Chính 50 MP & Phụ cảm biến chiều sâu,FullHD 1080p@30fps,Có,Zoom kỹ thuật số,5 MP,Xóa phông,TFT LCD,HD+ (720 x 1604 Pixels),"6.61"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",1010 nits,Kính cường lực,5300 mAh,Li-Ion,35 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Đạt chuẩn chống va đập 5 sao SGS,IP64,Ghi âm mặc định,WEBM,Hỗ trợ 4G,2 Nano SIM (SIM 2 chung khe thẻ nhớ),Wi-Fi hotspot,GPS,v5.1,Type-C,3.5 mm,OTG,Nguyên khối,Khung kim loại & Mặt lưng kim loại,Dài 163.95 mm - Ngang 75.6 mm - Dày 8.39 mm - Nặng 199 g,07/2025,HONOR. <span class='parameter__manu'>Xem thông tin hãng</span>,"Honor X6c 6GB/128GB giá tốt, giảm ngay 300k hoặc PMH 350k, trả chậm 0% lãi suất - trả trước 0đ, thu cũ giảm đến 800K, 1 đổi 1 trong 100 ngày. Mua ngay!",['HONOR'],340220,340220,3990000.0,VND,35 W,OGG,FM không cần tai nghe,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại HONOR X5c Plus 4GB/64GB,3.090.000₫,https://www.thegioididong.com/dtdd/honor-x5c-plus-4gb-64gb,Android 15,MediaTek Helio G81 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.7 GHz,Mali-G52 MC2,4 GB,64 GB,Hãng không công bố,Không giới hạn,Chính 50 MP & Phụ 0.08 MP,FullHD 1080p@30fps,Có,Zoom kỹ thuật số,5 MP,Làm đẹp,TFT LCD,HD+ (720 x 1600 Pixels),"6.74"" - Tần số quét 90 Hz",450 nits,Kính thường,5260 mAh,Li-Po,15 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Magic Capsule,,Ghi âm mặc định,WEBM,Hỗ trợ 4G,2 Nano SIM,Wi-Fi hotspot,GPS,v5.1,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 167 mm - Ngang 77 mm - Dày 7.89 mm - Nặng 186 g,01/2026,HONOR. <span class='parameter__manu'>Xem thông tin hãng</span>,"Honor X5c Plus 4GB/64GB giá rẻ, chỉ từ 3tr190, 1 đổi 1 trong 100 ngày, giảm ngay 100K, trả chậm 0% lãi suất, BH 18 tháng, HSSV/thu cũ/tài xế giảm thêm 100K. Mua ngay!",['HONOR'],358691,358691,3090000.0,VND,15 W,WAV,,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại Honor X7d 8GB/128GB,5.490.000₫,https://www.thegioididong.com/dtdd/honor-x7d-8gb-128gb,Android 15,Snapdragon 685 8 nhân,4 nhân 2.8 GHz & 4 nhân 1.9 GHz,Adreno 610,8 GB,128 GB,,Không giới hạn,Chính 108 MP & Phụ 2 MP,FullHD 1080p@30fps,Có,Zoom kỹ thuật số,8 MP,Xóa phông,TFT LCD,HD+ (720 x 1610 Pixels),"6.77"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",850 nits,Kính cường lực HONOR,6500 mAh,Li-Po,35 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Đạt chuẩn chống va đập 5 sao SGS,IP64 & IP65,Ghi âm mặc định,WEBM,Hỗ trợ 4G,2 Nano SIM,Wi-Fi hotspot,GPS,v5.0,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 166.89 mm - Ngang 76.8 mm - Dày 8.24 mm - Nặng 208 g,10/2025,HONOR. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Honor X7d 8GB/128GB chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['HONOR'],362971,362971,5490000.0,VND,35 W,WAV,Có,,
Điện thoại Samsung Galaxy S24 5G 8GB/256GB,14.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g?utm_flashsale=1,Android 14,Exynos 2400 10 nhân,3.2 GHz,Xclipse 940,8 GB,256 GB,231.2 GB,Không giới hạn,"Chính 50 MP & Phụ 12 MP, 10 MP",HD 720p@30fps,Có,Ảnh Raw,12 MP,Xóa phông,Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),"6.2"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",2600 nits,Kính cường lực Corning Gorilla Glass Victus 2,4000 mAh,Li-Ion,25 W,Sạc pin nhanh,Mở khoá vân tay dưới màn hình,Ứng dụng kép (Dual Messenger),IP68,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM,Wi-Fi hotspot,QZSS,v5.3,Type-C,,NFC,Nguyên khối,Khung nhôm & Mặt lưng kính cường lực,Dài 147 mm - Ngang 70.6 mm - Dày 7.6 mm - Nặng 167 g,01/2024,Samsung. <span class='parameter__manu'>Xem thông tin hãng</span>,"Samsung Galaxy S24 chính hãng giảm đến 3 tr hoặc thu cũ đến 5 tr.  Tặng Samsung Care+ 1 năm, Ốp lưng chính hãng, mua trả chậm 0% lãi suất. Mua ngay tại Thegioididong !",['Samsung'],319665,319665,14990000.0,VND,,XMF,,,
Điện thoại Samsung Galaxy S25 Edge 5G 12GB/512GB,22.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-edge-5g-512gb,Android 15,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,4.47 GHz,Adreno 830,12 GB,512 GB,478 GB,Không giới hạn,Chính 200 MP & Phụ 12 MP,FullHD 1080p@240fps,Có,Zoom kỹ thuật số,12 MP,Xóa phông,Dynamic AMOLED 2X,2K+ (1440 x 3120 Pixels),"6.7"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",2600 nits,Kính cường lực Corning Gorilla Glass Ceramic 2,3900 mAh,Li-Ion,25 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Trợ lý ảo Google Gemini,IP68,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM,Wi-Fi hotspot,QZSS,v5.4,Type-C,Type-C,NFC,Nguyên khối,Khung Titan & Mặt lưng kính cường lực,Dài 158.2 mm - Ngang 75.6 mm - Dày 5.8 mm - Nặng 163 g,05/2025,Samsung. <span class='parameter__manu'>Xem thông tin hãng</span>,"Samsung Galaxy S25 Edge 5G 512GB chính hãng, giá tốt, giảm ngay 3.5 triệu, trả chậm 0% lãi suất, tặng gói bảo hiểm rơi vỡ 6 tháng trị giá 2 triệu. Mua ngay!",['Samsung'],335955,335955,22990000.0,VND,,XMF,,,
Điện thoại Masstel IZI 10,400.000₫,https://www.thegioididong.com/dtdd/masstel-izi-10,,Unisoc UMS9117,,,48 MB,128 MB,,2000 số,,,,,,,TFT LCD,QQVGA (128 x 160 Pixels),"1.77""",,Không có cảm ứng,1000 mAh,Li-Ion,,,,,,Ghi âm mặc định,MP4,Hỗ trợ 4G VoLTE,2 Nano SIM,,,v4.2,Micro USB,3.5 mm,,Pin rời,Khung & Mặt lưng nhựa,Dài 121 mm - Ngang 50 mm - Dày 12.8 mm - Nặng 75 g,12/2021,Masstel. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua điện thoại Masstel IZI 10 4G giá rẻ, giao hàng tận nơi, có thể cà thẻ tại nhà, bảo hành toàn quốc. Xem ngay tại Thế Giới Di Động!",['Masstel'],265311,265311,400000.0,VND,2.5 W,WAV,FM không cần tai nghe,"MicroSD, hỗ trợ tối đa 32 GB",Có
Điện thoại Samsung Galaxy S24 FE 5G 8GB/256GB,12.790.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-fe-8gb-256gb?utm_flashsale=1,Android 14,Exynos 2400e 8 nhân,3.1 GHz,Xclipse 940,8 GB,256 GB,241 GB,Không giới hạn,"Chính 50 MP & Phụ 12 MP, 8 MP",8K 4320p@30fps,Có,Zoom quang học,10 MP,Xóa phông,Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),"6.7"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",1900 nits,Kính cường lực Corning Gorilla Glass Victus+,4700 mAh,Li-Ion,25 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Âm thanh Dolby Audio,IP68,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,Wi-Fi hotspot,QZSS,v5.3,Type-C,Type-C,NFC,Nguyên khối,Khung kim loại & Mặt lưng kính,Dài 162 mm - Ngang 77.3 mm - Dày 8 mm - Nặng 213 g,09/2024,Samsung. <span class='parameter__manu'>Xem thông tin hãng</span>,"Samsung Galaxy S24 FE 5G 8GB/256GB chính hãng, giá tốt, giảm thêm đến 1 triệu khi thanh toán qua VN Pay, giảm ngay 1 triệu qua Samsung Members. Click ngay!",['Samsung'],329785,329785,12790000.0,VND,,WAV,,,
Điện thoại HONOR Play 10 3GB/64GB,1.990.000₫,https://www.thegioididong.com/dtdd/honor-play-10-3gb-64gb?utm_flashsale=1,Android 15 Go,MediaTek Helio G81 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.7 GHz,Mali-G52 MC2,3 GB,64 GB,49 GB,Hãng không công bố,13 MP,FullHD 1080p@30fps,Có,Zoom kỹ thuật số,5 MP,,TFT LCD,HD+ (720 x 1600 Pixels),"6.74"" - Tần số quét 90 Hz",480 nits,Kính thường,5000 mAh,Li-Po,10 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,,IP52,,WEBM,Hỗ trợ 4G,2 Nano SIM,Wi-Fi hotspot,GPS,v5.1,Type-C,3.5 mm,OTG,Nguyên khối,Hãng không công bố,Dài 167.69 mm - Ngang 77.69 mm - Dày 8.55 mm - Nặng 189 g,11/2025,HONOR. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Honor Play 10 3GB/64GB giá siêu rẻ, tặng PMH trị giá 50K, 1 đổi 1 trong 100 ngày, trả chậm 0% lãi suất, bảo hành 18 tháng. Mua ngay đến 30/11!",['HONOR'],358698,358698,1990000.0,VND,10 W,WAV,Có,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại Mobell Rock 7,890.000₫,https://www.thegioididong.com/dtdd/mobell-rock-7,Mocor (RTOS),UMS8910S,1 nhân 500 MHz,,16 MB,16 MB,29 KB,200 số,0.08 MP,,,,,,TFT LCD,QVGA (240 x 320 Pixels),"2.4""",,Không có cảm ứng,5500 mAh,Li-Po,5 W,,,,,,,Hỗ trợ 4G,2 Nano SIM,,,v5.0,Type-C,,,Pin rời,Khung & Mặt lưng nhựa,Dài 133.8 mm - Ngang 63 mm - Dày 22.1 mm - Nặng 220 g,,Mobell. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Mobell Rock 7 chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['Mobell'],338026,338026,890000.0,VND,5 W,MP3,,"MicroSD, hỗ trợ tối đa 64 GB",
Điện thoại OPPO A5i 6GB/128GB,4.490.000₫,https://www.thegioididong.com/dtdd/oppo-a5i-6gb-128gb,Android 14,Snapdragon 6s Gen 1 8 nhân,2.1 GHz,Adreno 610,6 GB,128 GB,103 GB,Không giới hạn,8 MP,HD 720p@30fps,Có,Xóa phông,5 MP,Xóa phông,IPS LCD,HD+ (720 x 1604 Pixels),"6.67"" - Tần số quét 90 Hz",1000 nits,Kính cường lực Panda,5100 mAh,Li-Po,45 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Ứng dụng kép (Nhân bản ứng dụng),IP54,Ghi âm mặc định,MP4,Hỗ trợ 4G,2 Nano SIM,Wi-Fi 802.11 a/b/g/n,QZSS,v5.0,Type-C,3.5 mm,OTG,Nguyên khối,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,Dài 165.77 mm - Ngang 76.08 mm - Dày 7.68 mm - Nặng 186 g,07/2025,OPPO. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại OPPO A5i 6GB/128GB chính hãng, giá rẻ, tặng phiếu mua hàng trị giá 700K, bảo hành 1 năm, 1 đổi 1 trong 30 ngày, trả chậm 0% lãi suất. Mua ngay!",['OPPO'],342406,342406,4490000.0,VND,45 W,OGG,Có,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng,13.990.000₫,https://www.thegioididong.com/dtdd/oppo-find-n3-flip-hong,Android 13,MediaTek Dimensity 9200 5G 8 nhân,"1 nhân 3.05 GHz, 3 nhân 2.85 GHz & 4 nhân 1.8 GHz",Immortalis-G715 MC11,12 GB,256 GB,239 GB,Không giới hạn,"Chính 50 MP & Phụ 48 MP, 32 MP",HD 720p@60fps,Có,Ảnh Raw,32 MP,Xóa phông,AMOLED,Chính: FHD+ (1080 x 2520 Pixels) & Phụ: SD (382 x 720 Pixels),"Chính 6.8"" & Phụ 3.26"" - Tần số quét Chính: 120 Hz & Phụ: 60 Hz",Chính 1600 nits & Phụ 900 nits,Chính: Kính siêu mỏng Schott UTG & Phụ: Corning Gorilla Glass 7,4300 mAh,Li-Po,44 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Ứng dụng kép (Nhân bản ứng dụng),IPX4,Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,QZSS,v5.3,Type-C,Type-C,OTG,Nguyên khối,Khung nhôm & Mặt lưng kính cường lực Gorilla Glass 7,Dài 166.42 mm - Ngang 75.78 mm - Dày 7.79 mm - Nặng 198 g,10/2023,OPPO. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['OPPO'],317981,317981,13990000.0,VND,67 W,OGG,,,
Điện thoại realme 14 5G 12GB/256GB,8.800.000₫,https://www.thegioididong.com/dtdd/realme-14-5g?utm_flashsale=1,Android 15,Snapdragon 6 Gen 4 5G 8 nhân,2.3 GHz,Hãng không công bố,12 GB,256 GB,228 GB,Không giới hạn,Chính 50 MP & Phụ 2 MP,HD 720p@60fps,Có,Xóa phông,16 MP,Xóa phông,AMOLED,Full HD+ (1080 x 2400 Pixels),"6.67"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",2000 nits,Kính cường lực,6000 mAh,Titan,45 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Xoá vật thể AI,"IP66, IP68, IP69",Ghi âm mặc định,WMV,Hỗ trợ 5G,2 Nano SIM (SIM 2 chung khe thẻ nhớ),Wi-Fi hotspot,QZSS,v5.2,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 163.15 mm - Ngang 75.65 mm - Dày 7.97 mm - Nặng 196 g,05/2025,realme. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại realme 14 5G 12GB/256GB chính hãng, tặng phiếu mua hàng phụ kiện, smartwatch trị giá 350K, trả chậm 0% lãi suất, tặng bảo hành mở rộng 6 tháng. Mua ngay!",['realme'],336623,336623,8800000.0,VND,45 W,WMA,,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại HONOR X5b Plus 4GB/128GB,2.490.000₫,https://www.thegioididong.com/dtdd/honor-x5b-plus,Android 14,MediaTek Helio G36 8 nhân,4 nhân 2.2 GHz & 4 nhân 1.6 GHz,IMG PowerVR GE8320,4 GB,128 GB,109 GB,Không giới hạn,Chính 50 MP & Ống kính phụ,HD 720p@30fps,Có,Zoom kỹ thuật số,5 MP,Xóa phông,TFT LCD,HD+ (720 x 1612 Pixels),"6.56"" - Tần số quét 90 Hz",530 nits,Kính thường,5200 mAh,Li-Ion,10 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Mở rộng bộ nhớ RAM,,Ghi âm mặc định,WEBM,Hỗ trợ 4G,2 Nano SIM,Wi-Fi hotspot,GPS,v5.1,Type-C,3.5 mm,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 163.85 mm - Ngang 75.75 mm - Dày 8.7 mm - Nặng 194 g,01/2025,HONOR. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Honor X5b Plus chính hãng, giá tốt, giảm ngay 200.000đ, thu cũ trợ giá đến 300.000đ, trả chậm 0% lãi suất - trả trước từ 0đ, bảo hành 13 tháng. Mua ngay!",['HONOR'],333770,333770,2490000.0,VND,10 W,WAV,Có,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB,22.700.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-plus,Android 15,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,4.47 GHz,Adreno 830,12 GB,256 GB,233 GB,Không giới hạn,"Chính 50 MP & Phụ 12 MP, 10 MP",FullHD 1080p@240fps,Có,Zoom quang học,12 MP,Xóa phông,Dynamic AMOLED 2X,2K+ (1440 x 3120 Pixels),"6.7"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",2600 nits,Kính cường lực Corning Gorilla Glass Victus 2,4900 mAh,Li-Ion,45 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Vision Booster,IP68,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM,Wi-Fi MIMO,QZSS,v5.4,Type-C,Type-C,NFC,Nguyên khối,Khung nhôm & Mặt lưng kính cường lực,Dài 158.4 mm - Ngang 75.8 mm - Dày 7.3 mm - Nặng 190 g,01/2025,Samsung. <span class='parameter__manu'>Xem thông tin hãng</span>,"Samsung Galaxy S25+ (Plus) 256GB 5G chính hãng, giá tốt, giảm ngay 6.6 triệu, thu cũ trợ giá đến 3 triệu, tặng gói Google One AI Premium, trả chậm 0% lãi suất. Mua ngay!",['Samsung'],333359,333359,22700000.0,VND,,XMF,,,
Điện thoại Xiaomi 15T Pro 5G 12GB/1TB,20.490.000₫,https://www.thegioididong.com/dtdd/xiaomi-15t-pro-12gb-1tb,Android 15,MediaTek Dimensity 9400+ 8 nhân,3.73 GHz,ARM Immortalis-G925,12 GB,1 TB,1011 GB,Không giới hạn,"Chính 50 MP & Phụ 50 MP, 12 MP",FullHD 1080p@120fps,Có,Xóa phông,32 MP,Xóa phông,Super AMOLED,1.5K (1280 x 2772 Pixels),"6.83"" - Tần số quét 144 Hz",3200 nits,Kính cường lực Corning Gorilla Glass 7i,5500 mAh,Li-Po,90 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Âm thanh Hi-Res Audio,IP68,Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,GPS,v6.0,Type-C,Type-C,OTG,Nguyên khối,Khung hợp kim nhôm & Mặt lưng sợi thuỷ tinh,Dài 162.7 mm - Ngang 77.9 mm - Dày 7.96 mm - Nặng 210 g,09/2025,Xiaomi. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua Xiaomi 15T Pro 5G 12GB/1TB giá tốt, tặng bảo hiểm rơi vỡ màn hình 6 tháng, thu cũ trợ giá đến 2.5tr, trả chậm 0% lãi suất, bảo hành 24 tháng. Mua ngay đến 31/10!",['Xiaomi'],344648,344648,20490000.0,VND,90 W,OGG,Có,,
Điện thoại HONOR X7c 8GB/256GB,4.300.000₫,https://www.thegioididong.com/dtdd/honor-x7c,Android 14,Snapdragon 685 8 nhân,2.8 GHz,Adreno 610,8 GB,256 GB,232 GB,Không giới hạn,Chính 108 MP & Phụ 2 MP,FullHD 1080p@30fps,Có,Zoom kỹ thuật số,8 MP,Xóa phông,IPS LCD,HD+ (720 x 1610 Pixels),"6.77"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",850 nits,Hãng không công bố,6000 mAh,Li-Po,35 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Mở rộng bộ nhớ RAM,IP64,Ghi âm mặc định,WEBM,Hỗ trợ 4G,2 Nano SIM,Wi-Fi hotspot,GPS,v5.0,Type-C,3.5 mm,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 166.9 mm - Ngang 76.8 mm - Dày 8.09 mm - Nặng 194 g,11/2024,HONOR. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại HONOR X7c 8GB/256GB chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['HONOR'],331512,331512,4300000.0,VND,35 W,WAV,,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại OPPO Reno14 F 5G 8GB/256GB Hồng,9.100.000₫,https://www.thegioididong.com/dtdd/oppo-reno14-f-5g-8gb-256gb-hong?utm_flashsale=1,Android 15,Snapdragon 6 Gen 1 5G 8 nhân,2.2 GHz,Adreno 710,8 GB,256 GB,227 GB,Không giới hạn,"Chính 50 MP & Phụ 8 MP, 2 MP",HD 720p@60fps,Có,Zoom kỹ thuật số,32 MP,Xóa phông,AMOLED,Full HD+ (1080 x 2372 Pixels),"6.57"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",1400 nits,Kính cường lực AGC DT-Star D+,6000 mAh,Li-Po,45 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Ứng dụng kép (Nhân bản ứng dụng),"IP66, IP68, IP69",Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,QZSS,v5.1,Type-C,Type-C,OTG,Nguyên khối,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,Dài 158.12 mm - Ngang 74.97 mm - Dày 7.69 mm - Nặng 180 g,07/2025,OPPO. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại OPPO Reno14 F 5G 8GB/256GB Hồng chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['OPPO'],339624,339624,9100000.0,VND,45 W,OGG,,"MicroSD, hỗ trợ tối đa 2 TB",
Điện thoại định vị trẻ em Masstel Alfa 5,990.000₫,https://www.thegioididong.com/dtdd/masstel-alfa-5,RTOS,ASR3603S,1 nhân 832 MHz,,16 MB,24 MB,,250 số,0.3 MP,Có quay phim,Có,Chụp thường,0.3 MP,Chụp thường,IPS LCD,QVGA (240 x 320 Pixels),"3.5""",Hãng không công bố,Kính thường,1750 mAh,Li-Po,4W,,,,,Ghi âm mặc định,MP4,Hỗ trợ 4G,1 Nano SIM,,Có,Có,Type-C,3.5 mm,,Nguyên khối,Khung & Mặt lưng nhựa,Dài 112 mm - Ngang 63 mm - Dày 10.9 mm - Nặng 101.2 g,08/2025,Masstel. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại định vị trẻ em Masstel Alfa 5 giá rẻ, giá chỉ từ 1tr390, tặng kèm ốp lưng (trong hộp máy), bảo hành chính hãng 12 tháng, trả chậm 0% lãi suất. Mua ngay!",['Masstel'],342910,342910,990000.0,VND,,MP3,,"MicroSD, hỗ trợ tối đa 32 GB",
Điện thoại Mobell F309 4G,750.000₫,https://www.thegioididong.com/dtdd/mobell-f309,,Unisoc T107,1.0 GHz,,16 MB,16 MB,29 KB,200 số,0.08 MP,,,,,,TFT LCD,QVGA (240 x 320 Pixels),"2.31""",,Không có cảm ứng,1600 mAh,Li-Ion,2.5 W,,,,,Ghi âm mặc định,3GP,Hỗ trợ 4G VoLTE,2 Nano SIM,,,v5.0,Type-C,,,Pin rời,Khung & Mặt lưng nhựa,Dài 125 mm - Ngang 61.5 mm - Dày 13 mm - Nặng 127.5 g,03/2023,Mobell. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Mobell F309 4G chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['Mobell'],304608,304608,750000.0,VND,2.5 W,MP3,FM không cần tai nghe,"MicroSD, hỗ trợ tối đa 64 GB",Có
